Food	Serving (g)	 Calories	(Protein %)	Carbohydrates %	Fiber %	Fat %	Saturated Fat %	Cholesterol %	Vitamin A %	C %	D %	E %	K %	Thiamin %	Riboflavin %	Niacin %	B6 %	Folate %	B12 %	Pantothenic %		Calcium %	Iron %	Magnesium %	Phosphorous %	Potassium %	Sodium %	Zinc %	Copper %	Manganese %	Selenium %	Link
																																
Kale	100	2	7	3	8	1	0	0	308	200	0	0	1021	7	8	5	14	7	0	1		14	9	8	6	13	2	3	14	39	1	http://nutritiondata.self.com/facts/vegetables-and-vegetable-products/2461/2
Peanut Butter	258	76	129	17	62	200	133	0	0	0	0	116	2	13	16	173	70	48	0	27		11	27	99	92	48	2	50	61	189	21	http://nutritiondata.self.com/facts/legumes-and-legume-products/4453/2
Egg (scrambled)	220	18	49	2	0	41	40	258	23	1	19	12	11	8	57	1	13	17	28	22		16	15	7	37	9	26	15	2	2	71	http://nutritiondata.self.com/facts/dairy-and-egg-products/120/2
Carrots (baby)	15	0	0	0	2	0	0	0	41	1	0	0	2	0	0	0	1	1	0	1		0	1	0	0	1	0	0	1	1	0	http://nutritiondata.self.com/facts/vegetables-and-vegetable-products/3026/2
																																
Lime	67	1	1	2	8	0	0	0	1	32	0	1	1	1	1	1	1	1	0	1		2	2	1	1	2	0	0	2	0	0	http://nutritiondata.self.com/facts/fruits-and-fruit-juices/1942/2
Chicken	100	15	32	6	5	27	19	15	0	0	0	2	6	17	5	28	2	2	6	9		2	6	6	21	6	19	5	12	12	35	http://nutritiondata.self.com/facts/poultry-products/10046/2
Salmon	154	14	78	0	0	19	10	36	1	0	0	0	0	28	44	78	73	11	78	30		2	9	14	39	28	4	8	25	2	103	http://nutritiondata.self.com/facts/finfish-and-shellfish-products/4231/2
																																
Rice	158	10	8	15	3	1	1	0	0	0	0	0	0	17	1	12	7	23	0	6		2	11	5	7	2	0	5	5	37	17	http://nutritiondata.self.com/facts/cereal-grains-and-pasta/5712/2
Black Beans	172	11	30	14	60	1	1	0	0	0	0	0	0	28	6	4	6	64	0	4		5	20	30	24	17	0	13	18	38	3	http://nutritiondata.self.com/facts/legumes-and-legume-products/4284/2
																																
Milk	244	5	16	4	0	4	8	4	10	0	32	0	0	3	27	1	5	3	18	9		29	0	7	23	10	4	7	1	0	12	http://nutritiondata.self.com/facts/dairy-and-egg-products/74/2
Almonds	95	27	40	7	46	72	18	0	0	0	0	125	0	13	57	16	7	12	0	4		25	20	64	46	19	0	20	47	109	3	http://nutritiondata.self.com/facts/nut-and-seed-products/3085/2
Spinach	30	0	2	0	3	0	0	0	56	14	0	3	181	2	3	1	3	15	0	0		3	5	6	1	5	1	1	2	13	0	http://nutritiondata.self.com/facts/vegetables-and-vegetable-products/2626/2
Banana	225	10	5	1	23	1	1	0	3	33	0	1	1	5	10	7	41	11	0	8		1	3	15	5	23	0	2	9	30	3	http://nutritiondata.self.com/facts/fruits-and-fruit-juices/1846/2
Coffee	237	0	1	0	0	0	0	0	0	0	0	0	0	2	11	2	0	1	0	6		0	0	2	1	3	0	0	0	3	0	http://nutritiondata.self.com/facts/beverages/3898/2
Dark Chocolate	100	30	16	15	44	66	124	1	1	0	0	0	9	2	5	5	2	0	5	4		7	67	58	31	21	1	22	89	98	10	http://nutritiondata.self.com/facts/sweets/10638/2
Blueberries (Wild Frozen)	140	4	0	6	25	0	0	0	2	4	0	2	0	3	1	4	1	0	0	0		2	5	2	2	3	0	6	0	201	0	http://nutritiondata.self.com/facts/fruits-and-fruit-juices/10507/2
Onion (Raw)	160	3	4	5	11	0	0	0	0	20	0	0	1	5	3	1	10	8	0	2		4	2	4	5	7	0	2	3	10	1	http://nutritiondata.self.com/facts/vegetables-and-vegetable-products/2501/2
Bell Peppers	149	1	3	2	10	0	0	0	11	200	0	3	14	6	2	4	17	4	0	1		1	3	4	3	7	0	1	5	9	0	http://nutritiondata.self.com/facts/vegetables-and-vegetable-products/2536/2
Tomato	149	1	3	2	7	0	0	0	25	32	0	4	15	4	2	4	6	6	0	1		1	2	4	4	10	0	2	4	8	0	http://nutritiondata.self.com/facts/vegetables-and-vegetable-products/2682/2
Cilantro	4	0	0	0	0	0	0	0	5	2	0	1	16	0	0	0	0	1	0	0		0	0	0	0	1	0	0	0	1	0	http://nutritiondata.self.com/facts/vegetables-and-vegetable-products/2414/2
Avocado	150	12	6	4	40	34	16	0	4	25	0	16	39	7	11	13	19	30	0	21		2	5	11	8	21	0	6	14	11	1	http://nutritiondata.self.com/facts/fruits-and-fruit-juices/1843/2
																																
Salt	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	97	0	0	0	0	http://nutritiondata.self.com/facts/spices-and-herbs/216/2
Potato	369	284	15	23	32	1	0	0	0	121	0	0	9	20	7	19	54	15	0	11		4	16	21	21	44	1	7	20	28	2	https://nutritiondata.self.com/facts/vegetables-and-vegetable-products/2546/2
Cauliflower	100	25	4	2	10	0	0	0	0	77	0	0	20	4	4	3	11	14	0	7		2	2	4	4	9	1	2	2	8	1	https://nutritiondata.self.com/facts/vegetables-and-vegetable-products/2390/2
																																
Yogurt																																
Cheese																																
Butter																																
																																
Strawberry																																
																																
																																
Egg (btr than milk excpt D)	220	18	49	2	0	41	40	258	23	1	19	12	11	8	57	1	13	17	28	22		16	15	7	37	9	26	15	2	2	71	http://nutritiondata.self.com/facts/dairy-and-egg-products/120/2
Milk	244	5	16	4	0	4	8	4	10	0	32	0	0	3	27	1	5	3	18	9		29	0	7	23	10	4	7	1	0	12	http://nutritiondata.self.com/facts/dairy-and-egg-products/74/2
Potato	369	284	15	23	32	1	0	0	0	121	0	0	9	20	7	19	54	15	0	11		4	16	21	21	44	1	7	20	28	2	https://nutritiondata.self.com/facts/vegetables-and-vegetable-products/2546/2
Cauliflower	100	25	4	2	10	0	0	0	0	77	0	0	20	4	4	3	11	14	0	7		2	2	4	4	9	1	2	2	8	1	https://nutritiondata.self.com/facts/vegetables-and-vegetable-products/2390/2
